Name,Tags,Files,URL,Status,Grade,Left,UIP,Created time,Days ago,Deadline,Orbit,Subject
Структура и Интерпретация Компьютерных Программ,"Book, Source",Datebase%20db38d/Struktura_i_Interpretatsia_Kompyuternykh_Programm_RU.pdf,,,," day(s) 0 hour(s) ",,,,,,
Книги Я.И. Перельмана про точные науки.,"Book, Math, Physic, Source","Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_arifmetika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_astronomia.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_fizika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_geometria.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_matematika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_mekhanika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnye_zadachi_i_opyty.djvu, Datebase%20db38d/Ya_I_Perelman_Zhivaya_matematika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_algebra.djvu",,,," day(s) 0 hour(s) ",,,,,,
Что такое valgrind и зачем он нужен,"Article, Source, Valgrind",,"http://alexott.net/ru/writings/prog-checking/Valgrind.html#:~:text=Still%20reachable%20%D0%BE%D0%B1%D1%8B%D1%87%D0%BD%D0%BE%20%D0%BE%D0%B7%D0%BD%D0%B0%D1%87%D0%B0%D0%B5%D1%82%2C%20%D1%87%D1%82%D0%BE,show%2Dreachable%20%D1%81%D0%BE%20%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC%20yes%20.",,," day(s) 0 hour(s) ",,,,,,
Linux программирование в примерах,"Book, C, GNU, Linux, Source",,https://it.wikireading.ru/830,,," day(s) 0 hour(s) ",,,,,,
Битовые операции в Си,"C, Source",,https://learnc.info/c/bitwise_operators.html,,," day(s) 0 hour(s) ",,,,,,
WIKI:ft_printf,"C, Encodings, Source, WIKI:PROJ",,,,," day(s) 0 hour(s) ",,,,,,
Unicode wiki,"Article, Encodings, Source",,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%B8%D0%BA%D0%BE%D0%B4,,," day(s) 0 hour(s) ",,,,,,
Unicode in ft_putchar_fd,"C, Encodings",,,Not Started,," day(s) 0 hour(s) ",,,,,,
Secrets of “printf”,"Article, C, Source",Datebase%20db38d/Secrets_of_printf.pdf,,,," day(s) 0 hour(s) ",,,,,,
Understanding Valgrind memory leak reports,"Article, C, Source, Valgrind",Datebase%20db38d/valgrind-memcheck.pdf,,,," day(s) 0 hour(s) ",,,,,,
"Язык Си. Реализация списков с помощью цепочек
динамических объектов","Book, C, Source",Datebase%20db38d/c.lists.pdf,,,," day(s) 0 hour(s) ",,,,,,
GNU Make,"Book, Makefile, Source",Datebase%20db38d/make.pdf,,,," day(s) 0 hour(s) ",,,,,,
get_next_line,"C, Project",,,Complited,100,"-433 day(s) -9.3 hour(s) ",,"November 17, 2020 10:00 PM",504,"January 28, 2021 12:00 AM",#1,Datebase%20db38d/en.subject.gnl.pdf
ft_printf,"C, Project",,,Complited,100,"-433 day(s) -9.3 hour(s) ",,"December 10, 2020 12:00 AM",482,"January 28, 2021 12:00 AM",#1,Datebase%20db38d/en.subject.printf.pdf
WIKI:netwhat,"Article, Network, Source, WIKI:PROJ",,https://github.com/markveligod/netwhat,,," day(s) 0 hour(s) ",,,,,,
