Name,Created time,Days ago,Deadline,Files,Grade,Left,Orbit,Status,Subject,Tags,UIP,URL
Что такое valgrind и зачем он нужен,,,,,," day(s) 0 hour(s) ",,,,"Article, Source, Valgrind",,"http://alexott.net/ru/writings/prog-checking/Valgrind.html#:~:text=Still%20reachable%20%D0%BE%D0%B1%D1%8B%D1%87%D0%BD%D0%BE%20%D0%BE%D0%B7%D0%BD%D0%B0%D1%87%D0%B0%D0%B5%D1%82%2C%20%D1%87%D1%82%D0%BE,show%2Dreachable%20%D1%81%D0%BE%20%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC%20yes%20."
Книги Я.И. Перельмана про точные науки.,,,,"Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_arifmetika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_astronomia.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_fizika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_geometria.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_matematika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_mekhanika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnye_zadachi_i_opyty.djvu, Datebase%20db38d/Ya_I_Perelman_Zhivaya_matematika.djvu, Datebase%20db38d/Ya_I_Perelman_Zanimatelnaya_algebra.djvu",," day(s) 0 hour(s) ",,,,"Book, Math, Physic, Source",,
Структура и Интерпретация Компьютерных Программ,,,,Datebase%20db38d/Struktura_i_Interpretatsia_Kompyuternykh_Programm_RU.pdf,," day(s) 0 hour(s) ",,,,"Book, Source",,
Алгоритмы. Руководство по разработке Скиена С.,,,,Datebase%20db38d/Skiena_S_-_Algoritmy_Rukovodstvo_po_razrabotke_-_2011_(2).djvu,," day(s) 0 hour(s) ",,,,"Algorithms, Book, Source",,
Цифровая схемотехника и архитектура компьютера,,,,Datebase%20db38d/digital-design-and-computer-architecture-russian-translation.pdf,," day(s) 0 hour(s) ",,,Datebase%20db38d/digital-design-and-computer-architecture-russian-translation%201.pdf,"Architecture, CS, Source",,
Mathematics for Computer Science Eric Lehman,,,,,," day(s) 0 hour(s) ",,,,"CS, Math, Source",,
"Компиляторы. Принципы, технологии, инструменты, 2-е издание",,,,,," day(s) 0 hour(s) ",,,,"Book, Source",,
Readings in Database Systems,,,,,," day(s) 0 hour(s) ",,,,"Book, Source",,
Компьютерные сети. Нисходящий подход Куроуз Джеймс,,,,,," day(s) 0 hour(s) ",,,,"Book, Network, Source",,
"Компьютерные сети. Таненбаум Э., Уэзэрол Д.",,,,,," day(s) 0 hour(s) ",,,,"Architecture, CS, Network, Source",,
"Distributed Systems 3rd Maarten van Steen, Andrew S. Tanenbaum",,,,,," day(s) 0 hour(s) ",,,,"Book, Source",,
"Чистая архитектура. Искусство разработки программного обеспечения [2018, PDF, EPUB] Роберт Мартин",,,,Datebase%20db38d/Chistaya_arkhitektura_Iskusstvo_razrabotki_programmnogo_obespechenia_2018.pdf,," day(s) 0 hour(s) ",,,,"Architecture, Book, CS, Source",,
В работу с головой,,,,Datebase%20db38d/Deep_Work.pdf,," day(s) 0 hour(s) ",,,,"Book, Productivity, Source",,
Грег МакКеон Эссенциализм. Путь к простоте,,,,Datebase%20db38d/__.___.pdf,," day(s) 0 hour(s) ",,,,"Productivity, Source",,
Программирование: введение в профессию. Том 1: азы программирования. А. В. Столяров,,,,Datebase%20db38d/progintro_vol1.pdf,," day(s) 0 hour(s) ",,,,"Book, GNU, Linux, Math, Source",,
Лучшая практика conf.d.,,,,,," day(s) 0 hour(s) ",,,,"Network, Nginx, Question, Source",,https://qastack.ru/server/527630/what-is-the-different-usages-for-sites-available-vs-the-conf-d-directory-for-ngi
Установка WordPress со стеком LEMP в Ubuntu 18.04,,,,,," day(s) 0 hour(s) ",,,,"LEMP, Nginx, Source, WordPress",,https://www.digitalocean.com/community/tutorials/how-to-install-wordpress-with-lemp-on-ubuntu-18-04-ru
NginxWiki,,,,,," day(s) 0 hour(s) ",,,,"LEMP, Nginx, Source",,http://nginx.org/ru/docs/
How To Create a Self-Signed SSL Certificate for Nginx in Ubuntu 18.04,,,,,," day(s) 0 hour(s) ",,,,"LEMP, Nginx, SSL, Source",,https://www.digitalocean.com/community/tutorials/how-to-create-a-self-signed-ssl-certificate-for-nginx-in-ubuntu-18-04
How To Secure Nginx with Let's Encrypt on Ubuntu 18.04,,,,,," day(s) 0 hour(s) ",,,,"LEMP, Nginx, SSL, Source",,https://www.digitalocean.com/community/tutorials/how-to-secure-nginx-with-let-s-encrypt-on-ubuntu-18-04
Не работает директива location в Nginx?,,,,,," day(s) 0 hour(s) ",,,,"Nginx, Source",,https://qna.habr.com/q/18649
Docker detouch,,,,,," day(s) 0 hour(s) ",,,,"Docker, Question, Source",,https://coderoad.ru/30209776/Docker-%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D1%80-%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8-%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%81%D1%8F-%D0%BF%D0%BE%D1%81%D0%BB%D0%B5-docker-run-d
42seoul{ft_printf}. Unicode.,,,,,," day(s) 0 hour(s) ",,,,"Encodings, Source",,https://jaeseokim.github.io/C/C-%EC%9C%A0%EB%8B%88%EC%BD%94%EB%93%9C(unicode)%EC%97%90_%EB%8C%80%ED%95%B4_%EC%95%8C%EC%95%84%EB%B3%B4%EA%B8%B0(feat.42seoul_ft_printf)/
Эффективное использование GNU Make,,,,,," day(s) 0 hour(s) ",,,,"Makefile, Source",,http://www.opennet.ru/docs/RUS/gnumake/
Программа управления компиляцией GNU make 3.73,,,,,," day(s) 0 hour(s) ",,,,"Makefile, Source",,http://www.opennet.ru/docs/RUS/make_compile/make.html#toc2
Exam Rank 03,,,"July 28, 2021",,,"-252 day(s) -9.3 hour(s) ",#3,Not Started,,Project,,
minishell,,,"July 28, 2021",,,"-252 day(s) -9.3 hour(s) ",#3,Not Started,,Project,,
libasm,,,"July 28, 2021",,,"-252 day(s) -9.3 hour(s) ",#3,Not Started,,Project,,
Энхиридион,,,,,," day(s) 0 hour(s) ",,Not Started,,Project,,
Chat,,,,,," day(s) 0 hour(s) ",,Not Started,,Project,,
ft_services,,,"July 28, 2021 12:00 AM",,NULL,"-252 day(s) -9.3 hour(s) ",#3,Not Started,,"C, Network, Project",,
,,,,,," day(s) 0 hour(s) ",,,,Project,,
